Sex,Age_group,Housing,Purpose,Risk_per_purpose,Credit amount,Duration,Financial_profile,Saving accounts,Checking account,Job_type,Duration_estimated,Checking_score,Saving_score,Duration_score,Job_score,Risk_per_purpose_score,Internal_Risk_Score,PD_internal
male,66+,own,radio/TV,alto riesgo,1169,6,No_tiene / little,,little,cualificado,0-6,0.75,1.0,0.050697028491100485,0.3,1.0,3.1006970284911004,0.6062278576368964
female,0-25,own,radio/TV,alto riesgo,5951,48,little / moderate,little,moderate,cualificado,43-48,0.5,0.75,0.6147386076544852,0.3,1.0,4.164738607654485,0.8142622579816154
male,46-55,own,education,bajo riesgo,2096,12,little / No_tiene,little,,no cualificado,7-12,1.0,0.75,0.11647118646192987,0.6,0.0,2.4664711864619298,0.48222819887036283
male,36-45,free,furniture/equipment,alto riesgo,7882,42,little / little,little,little,cualificado,37-42,0.75,0.75,0.5237211981383231,0.3,1.0,4.323721198138323,0.845345486799196
male,46-55,free,car,bajo riesgo,4870,24,little / little,little,little,cualificado,19-24,0.75,0.75,0.26758052058674353,0.3,0.0,3.0675805205867435,0.599753136161434
male,26-35,free,education,bajo riesgo,9055,36,No_tiene / No_tiene,,,no cualificado,31-36,1.0,1.0,0.43527528164806206,0.6,0.0,4.035275281648062,0.7889504413009596
male,46-55,own,furniture/equipment,alto riesgo,2835,24,quite rich / No_tiene,quite rich,,cualificado,19-24,1.0,0.25,0.26758052058674353,0.3,1.0,3.8175805205867435,0.7463881956496323
male,26-35,rent,car,bajo riesgo,6948,36,little / moderate,little,moderate,muy cualificado,31-36,0.5,0.75,0.43527528164806206,0.0,0.0,2.685275281648062,0.5250073342222027
male,56-65,own,radio/TV,alto riesgo,3059,12,rich / No_tiene,rich,,no cualificado,7-12,1.0,0.0,0.11647118646192987,0.6,1.0,3.71647118646193,0.7266199646840268
male,26-35,own,car,bajo riesgo,5234,30,little / moderate,little,moderate,muy cualificado,25-30,0.5,0.75,0.34974096978557817,0.0,0.0,2.5997409697855782,0.5082842290112195
female,0-25,rent,car,bajo riesgo,1295,12,little / moderate,little,moderate,cualificado,7-12,0.5,0.75,0.11647118646192987,0.3,0.0,1.66647118646193,0.32581746874961803
female,0-25,rent,business,bajo riesgo,4308,48,little / little,little,little,cualificado,43-48,0.75,0.75,0.6147386076544852,0.3,0.0,3.414738607654485,0.6676271984934171
female,0-25,own,radio/TV,alto riesgo,1567,12,little / moderate,little,moderate,cualificado,7-12,0.5,0.75,0.11647118646192987,0.3,1.0,2.66647118646193,0.5213308814005491
male,56-65,own,car,bajo riesgo,1199,24,little / little,little,little,no cualificado,19-24,0.75,0.75,0.26758052058674353,0.6,0.0,2.3675805205867437,0.46289374730578225
female,26-35,rent,car,bajo riesgo,1403,15,little / little,little,little,cualificado,13-18,0.75,0.75,0.1522335991272839,0.3,0.0,1.952233599127284,0.381687853257185
female,26-35,own,radio/TV,alto riesgo,1282,24,moderate / little,moderate,little,no cualificado,19-24,0.75,0.5,0.26758052058674353,0.6,1.0,3.1175805205867437,0.6095288067939806
male,46-55,own,radio/TV,alto riesgo,2424,24,No_tiene / No_tiene,,,cualificado,19-24,1.0,1.0,0.26758052058674353,0.3,1.0,4.567580520586743,0.8930232551378305
male,0-25,own,business,bajo riesgo,8072,30,No_tiene / little,,little,cualificado,25-30,0.75,1.0,0.34974096978557817,0.3,0.0,3.399740969785578,0.6646949591319643
female,36-45,free,car,bajo riesgo,12579,24,little / moderate,little,moderate,muy cualificado,19-24,0.5,0.75,0.26758052058674353,0.0,0.0,2.5175805205867436,0.4922207592034219
male,26-35,own,radio/TV,alto riesgo,3430,24,quite rich / No_tiene,quite rich,,cualificado,19-24,1.0,0.25,0.26758052058674353,0.3,1.0,3.8175805205867435,0.7463881956496323
male,46-55,own,car,bajo riesgo,2134,9,little / No_tiene,little,,cualificado,7-12,1.0,0.75,0.0824692444233059,0.3,0.0,2.132469244423306,0.41692633935035306
male,36-45,rent,radio/TV,alto riesgo,2647,6,quite rich / little,quite rich,little,cualificado,0-6,0.75,0.25,0.050697028491100485,0.3,1.0,3.3506970284911004,0.655106210799629
male,46-55,rent,car,bajo riesgo,2241,10,little / little,little,little,no cualificado,7-12,0.75,0.75,0.09358387076573756,0.6,0.0,2.1935838707657376,0.42887506850944834
male,36-45,own,car,bajo riesgo,1804,12,moderate / moderate,moderate,moderate,cualificado,7-12,0.5,0.5,0.11647118646192987,0.3,0.0,1.41647118646193,0.2769391155868853
male,26-35,own,furniture/equipment,alto riesgo,2069,10,No_tiene / No_tiene,,,cualificado,7-12,1.0,1.0,0.09358387076573756,0.3,1.0,3.3935838707657373,0.6634911636905656
male,36-45,own,furniture/equipment,alto riesgo,1374,6,little / little,little,little,no cualificado,0-6,0.75,0.75,0.050697028491100485,0.6,1.0,3.1506970284911007,0.6160035282694429
male,36-45,own,radio/TV,alto riesgo,426,6,little / No_tiene,little,,no cualificado,0-6,1.0,0.75,0.050697028491100485,0.6,1.0,3.4006970284911007,0.6648818814321757
female,36-45,rent,radio/TV,alto riesgo,409,12,rich / rich,rich,rich,cualificado,7-12,0.0,0.0,0.11647118646192987,0.3,1.0,1.41647118646193,0.2769391155868853
male,26-35,own,radio/TV,alto riesgo,2415,7,little / moderate,little,moderate,cualificado,7-12,0.5,0.75,0.060998429322433954,0.3,1.0,3.610998429322434,0.705998625993981
male,56-65,own,business,bajo riesgo,6836,60,little / little,little,little,cualificado,55-60,0.75,0.75,0.8034937533355228,0.3,0.0,3.6034937533355227,0.7045313611809405
male,36-45,own,business,bajo riesgo,1913,18,rich / moderate,rich,moderate,cualificado,13-18,0.5,0.0,0.18946457081379978,0.3,0.0,0.9894645708137997,0.19345359493699482
male,26-35,own,furniture/equipment,alto riesgo,4020,24,little / little,little,little,cualificado,19-24,0.75,0.75,0.26758052058674353,0.3,1.0,4.067580520586743,0.7952665488123649
male,26-35,own,car,bajo riesgo,5866,18,moderate / moderate,moderate,moderate,cualificado,13-18,0.5,0.5,0.18946457081379978,0.3,0.0,2.4894645708137997,0.4867237139133915
male,56-65,rent,business,bajo riesgo,1264,12,No_tiene / No_tiene,,,no cualificado,7-12,1.0,1.0,0.11647118646192987,0.6,0.0,2.71647118646193,0.5311065520330958
female,26-35,own,furniture/equipment,alto riesgo,1474,12,little / rich,little,rich,muy cualificado,7-12,0.0,0.75,0.11647118646192987,0.0,1.0,1.8664711864619299,0.3649201512798042
male,0-25,own,radio/TV,alto riesgo,4746,45,little / moderate,little,moderate,no cualificado,43-48,0.5,0.75,0.5689263134456501,0.6,1.0,4.418926313445651,0.8639593637947571
male,26-35,free,education,bajo riesgo,6110,48,little / No_tiene,little,,cualificado,43-48,1.0,0.75,0.6147386076544852,0.3,0.0,3.664738607654485,0.7165055516561499
male,36-45,own,radio/TV,alto riesgo,2100,18,little / rich,little,rich,cualificado,13-18,0.0,0.75,0.18946457081379978,0.3,1.0,2.2394645708137997,0.43784536075065866
male,36-45,own,domestic appliances,alto riesgo,1225,10,little / rich,little,rich,cualificado,7-12,0.0,0.75,0.09358387076573756,0.3,1.0,2.1435838707657373,0.4190993978769017
male,0-25,own,radio/TV,alto riesgo,458,9,little / moderate,little,moderate,cualificado,7-12,0.5,0.75,0.0824692444233059,0.3,1.0,2.632469244423306,0.5146830456758186
male,26-35,own,radio/TV,alto riesgo,2333,30,quite rich / No_tiene,quite rich,,muy cualificado,25-30,1.0,0.25,0.34974096978557817,0.0,1.0,3.5997409697855782,0.7037976416621506
male,26-35,own,radio/TV,alto riesgo,1158,12,quite rich / moderate,quite rich,moderate,cualificado,7-12,0.5,0.25,0.11647118646192987,0.3,1.0,2.16647118646193,0.42357417507508355
male,36-45,own,repairs,bajo riesgo,6204,18,little / moderate,little,moderate,no cualificado,13-18,0.5,0.75,0.18946457081379978,0.6,0.0,3.0394645708138,0.5942560908714036
male,0-25,rent,car,bajo riesgo,6187,30,moderate / little,moderate,little,cualificado,25-30,0.75,0.5,0.34974096978557817,0.3,0.0,2.899740969785578,0.5669382528064988
female,56-65,free,car,bajo riesgo,6143,48,little / little,little,little,no cualificado,43-48,0.75,0.75,0.6147386076544852,0.6,0.0,3.714738607654485,0.7262812222886965
female,26-35,own,car,bajo riesgo,1393,11,little / No_tiene,little,,muy cualificado,7-12,1.0,0.75,0.10492336888023829,0.0,0.0,1.8549233688802382,0.36266239805573725
male,36-45,own,radio/TV,alto riesgo,2299,36,quite rich / No_tiene,quite rich,,cualificado,31-36,1.0,0.25,0.43527528164806206,0.3,1.0,2.985275281648062,0.583661358017482
female,0-25,rent,car,bajo riesgo,1352,6,quite rich / little,quite rich,little,desempleado,0-6,0.75,0.25,0.050697028491100485,1.0,0.0,2.0506970284911006,0.40093877435341874
male,36-45,own,car,bajo riesgo,7228,11,little / No_tiene,little,,no cualificado,7-12,1.0,0.75,0.10492336888023829,0.6,0.0,3.4549233688802383,0.675483858297227
female,26-35,own,radio/TV,alto riesgo,2073,12,moderate / No_tiene,moderate,,cualificado,7-12,1.0,0.5,0.11647118646192987,0.3,1.0,2.91647118646193,0.5702092345632819
male,26-35,own,furniture/equipment,alto riesgo,2333,24,No_tiene / moderate,,moderate,no cualificado,19-24,0.5,1.0,0.26758052058674353,0.6,1.0,4.367580520586744,0.8539205726076444
male,26-35,own,car,bajo riesgo,5965,27,little / moderate,little,moderate,muy cualificado,25-30,0.5,0.75,0.30820346803447984,0.0,0.0,2.55820346803448,0.5001630902908683
male,0-25,own,radio/TV,alto riesgo,1262,12,little / No_tiene,little,,cualificado,7-12,1.0,0.75,0.11647118646192987,0.3,1.0,3.16647118646193,0.6190875877260147
male,26-35,own,car,bajo riesgo,3378,18,No_tiene / No_tiene,,,cualificado,13-18,1.0,1.0,0.18946457081379978,0.3,0.0,3.4894645708137997,0.6822371265643226
male,56-65,free,car,bajo riesgo,2225,36,little / moderate,little,moderate,cualificado,31-36,0.5,0.75,0.43527528164806206,0.3,0.0,1.985275281648062,0.388147945366551
male,26-35,own,car,bajo riesgo,783,6,No_tiene / No_tiene,,,no cualificado,0-6,1.0,1.0,0.050697028491100485,0.6,0.0,2.6506970284911007,0.5182468219439774
male,46-55,own,radio/TV,alto riesgo,6468,12,No_tiene / moderate,,moderate,muy cualificado,7-12,0.5,1.0,0.11647118646192987,0.0,1.0,3.61647118646193,0.7070686234189336
female,26-35,own,radio/TV,alto riesgo,9566,36,little / No_tiene,little,,cualificado,31-36,1.0,0.75,0.43527528164806206,0.3,1.0,4.485275281648062,0.8769314769938786
female,0-25,own,car,bajo riesgo,1961,18,little / rich,little,rich,muy cualificado,13-18,0.0,0.75,0.18946457081379978,0.0,0.0,0.9394645708137997,0.1836779243044483
female,0-25,rent,furniture/equipment,alto riesgo,6229,36,little / little,little,little,no cualificado,31-36,0.75,0.75,0.43527528164806206,0.6,1.0,4.535275281648062,0.8867071476264252
male,26-35,own,business,bajo riesgo,1391,9,little / moderate,little,moderate,cualificado,7-12,0.5,0.75,0.0824692444233059,0.3,0.0,1.632469244423306,0.3191696330248875
male,46-55,own,radio/TV,alto riesgo,1537,15,No_tiene / moderate,,moderate,cualificado,13-18,0.5,1.0,0.1522335991272839,0.3,1.0,2.952233599127284,0.5772012659081162
male,56-65,free,business,bajo riesgo,1953,36,little / moderate,little,moderate,muy cualificado,31-36,0.5,0.75,0.43527528164806206,0.0,0.0,1.685275281648062,0.32949392157127166
male,0-25,own,business,bajo riesgo,14421,48,little / moderate,little,moderate,cualificado,43-48,0.5,0.75,0.6147386076544852,0.3,0.0,3.164738607654485,0.6187488453306843
female,26-35,own,radio/TV,alto riesgo,3181,24,little / No_tiene,little,,cualificado,19-24,1.0,0.75,0.26758052058674353,0.3,1.0,4.317580520586743,0.8441449019750977
male,46-55,own,repairs,bajo riesgo,5190,27,No_tiene / No_tiene,,,cualificado,25-30,1.0,1.0,0.30820346803447984,0.3,0.0,3.6082034680344797,0.7054521735743459
female,26-35,own,radio/TV,alto riesgo,2171,12,little / No_tiene,little,,cualificado,7-12,1.0,0.75,0.11647118646192987,0.3,1.0,3.16647118646193,0.6190875877260147
male,0-25,own,car,bajo riesgo,1007,12,rich / moderate,rich,moderate,cualificado,7-12,0.5,0.0,0.11647118646192987,0.3,0.0,0.9164711864619299,0.1791824092614197
male,36-45,free,education,bajo riesgo,1819,36,little / No_tiene,little,,cualificado,31-36,1.0,0.75,0.43527528164806206,0.3,0.0,2.485275281648062,0.48590465169201646
female,0-25,own,radio/TV,alto riesgo,2394,36,No_tiene / No_tiene,,,cualificado,31-36,1.0,1.0,0.43527528164806206,0.3,1.0,4.735275281648062,0.9258098301566114
female,26-35,own,car,bajo riesgo,8133,36,little / No_tiene,little,,cualificado,31-36,1.0,0.75,0.43527528164806206,0.3,0.0,3.485275281648062,0.6814180643429476
male,46-55,rent,radio/TV,alto riesgo,730,7,No_tiene / No_tiene,,,no cualificado,7-12,1.0,1.0,0.060998429322433954,0.6,1.0,3.6609984293224342,0.7157742966265276
male,46-55,free,vacation/others,alto riesgo,1164,8,little / little,little,little,muy cualificado,7-12,0.75,0.75,0.0715993349974727,0.0,1.0,2.571599334997473,0.5027821619562208
female,36-45,own,business,bajo riesgo,5954,42,little / moderate,little,moderate,no cualificado,37-42,0.5,0.75,0.5237211981383231,0.6,0.0,3.3737211981383233,0.6596077447808116
male,36-45,own,education,bajo riesgo,1977,36,No_tiene / little,,little,muy cualificado,31-36,0.75,1.0,0.43527528164806206,0.0,0.0,2.185275281648062,0.4272506278967372
male,66+,free,car,bajo riesgo,1526,12,little / little,little,little,muy cualificado,7-12,0.75,0.75,0.11647118646192987,0.0,0.0,1.6164711864619299,0.31604179811707145
